"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Andorra,ADO,
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Angola,AGO,18.753
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Antigua and Barbuda,ATG,6.721
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Argentina,ARG,7.801
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Armenia,ARM,8.435
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Aruba,ABW,7.02
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Australia,AUS,6.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Austria,AUT,9.3
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Azerbaijan,AZE,5.7
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Bahamas, The",BHS,5.585
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bahrain,BHR,2.733
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bangladesh,BGD,7.046
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Barbados,BRB,9.97
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Belarus,BLR,14.1
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Belgium,BEL,10.1
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Belize,BLZ,5.393
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Benin,BEN,12.126
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bermuda,BMU,7.1
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bhutan,BTN,8.593
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bolivia,BOL,8.287
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bosnia and Herzegovina,BIH,7.675
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Botswana,BWA,14.166
